10000
1,66697,51
2,105042,49
3,90639,38
4,99791,36
5,64527,47
6,137390,39
7,122962,48
8,69982,35
9,132730,48
10,126460,35
11,92561,23
12,47494,36
13,85110,46
14,132886,47
15,61574,24
16,118572,29
17,124952,32
18,98225,32
19,86039,32
20,133971,60
21,49826,19
22,139335,23
23,63175,30
24,112124,51
25,42176,59
26,59139,22
27,147846,27
28,104657,33
29,83166,41
30,104129,57
31,55195,33
32,134180,48
33,131707,18
34,136658,40
35,116899,19
36,51123,18
37,127954,25
38,147623,56
39,94681,23
40,53270,49
41,145594,46
42,124396,40
43,129967,25
44,62169,29
45,122997,37
46,81089,27
47,44200,48
48,107892,57
49,64689,50
50,81678,32
51,81022,53
52,97810,45
53,109045,37
54,59061,24
55,134745,46
56,49098,52
57,58310,38
58,124554,27
59,110362,33
60,78982,51
61,60898,43
62,95996,44
63,105633,19
64,79416,51
65,146809,34
66,125121,18
67,148930,54
68,106560,38
69,52070,25
70,55223,34
71,85287,24
72,122762,36
73,144883,22
74,49640,41
75,63369,42
76,47396,47
77,138078,52
78,105820,42
79,70508,24
80,76299,38
81,131214,44
82,144973,32
83,70407,60
84,140311,49
85,138120,56
86,136287,40
87,136689,41
88,138800,19
89,61900,33
90,84115,19
91,82588,58
92,131116,31
93,140097,33
94,47552,44
95,80617,37
96,106130,60
97,82938,20
98,71483,44
99,127371,44
100,55692,26
101,71745,52
102,42257,29
103,113512,57
104,120294,48
105,108759,58
106,76886,47
107,78922,21
108,80541,31
109,83984,25
110,83699,47
111,80530,34
112,133026,53
113,52308,56
114,54946,26
115,149197,36
116,103650,60
117,101514,57
118,71023,21
119,149059,38
120,64637,44
121,55617,59
122,64435,41
123,77439,58
124,92850,33
125,65199,28
126,133234,22
127,51616,47
128,70252,26
129,118873,20
130,107377,21
131,69935,38
132,53253,20
133,60923,24
134,45775,19
135,144317,18
136,93015,40
137,95758,32
138,57186,56
139,118256,58
140,125711,52
141,100346,54
142,149220,57
143,125882,27
144,139463,44
145,121860,45
146,78802,18
147,98422,48
148,127485,39
149,141154,59
150,136594,60
151,56044,45
152,54250,45
153,143980,49
154,123362,50
155,77386,40
156,149986,42
157,135060,33
158,83595,24
159,96123,31
160,101340,52
161,118306,26
162,47972,40
163,125335,23
164,77835,52
165,142002,38
166,126703,21
167,116460,55
168,98930,20
169,126659,45
170,122641,33
171,95882,18
172,62589,37
173,135669,19
174,149060,42
175,86314,33
176,134255,32
177,133241,36
178,57214,35
179,72386,24
180,134851,21
181,97062,51
182,116555,35
183,53385,34
184,50723,41
185,103102,45
186,114574,45
187,124816,29
188,68391,41
189,41871,20
190,146746,37
191,76071,29
192,104201,35
193,111510,32
194,99334,51
195,47285,43
196,51392,40
197,103923,49
198,65722,19
199,83296,40
200,101579,55
201,98987,38
202,123989,45
203,100698,30
204,51596,43
205,92383,56
206,97659,32
207,102530,24
208,148483,25
209,41841,58
210,86746,34
211,123728,45
212,107514,24
213,50250,52
214,109830,44
215,143768,20
216,141738,47
217,105946,55
218,78715,31
219,52594,58
220,62169,24
221,45095,18
222,117844,52
223,145467,49
224,140380,51
225,119986,30
226,122647,37
227,48998,26
228,120351,45
229,59361,54
230,99601,49
231,67717,22
232,143428,52
233,132472,44
234,87335,33
235,78995,41
236,113464,43
237,145025,19
238,66072,23
239,81369,60
240,119386,56
241,121744,47
242,41292,36
243,74511,36
244,115667,21
245,91311,45
246,127278,22
247,129429,19
248,51832,27
249,54969,19
250,67629,50
251,119033,44
252,59675,27
253,48017,41
254,140397,60
255,94851,53
256,58210,18
257,132806,43
258,103293,18
259,81889,53
260,119565,52
261,65113,51
262,126139,50
263,111852,38
264,108989,18
265,130170,23
266,67741,53
267,70701,46
268,137379,45
269,93527,30
270,62129,28
271,65055,33
272,133590,45
273,83387,37
274,86351,53
275,100171,30
276,69047,28
277,47714,44
278,134499,35
279,137366,42
280,120276,56
281,86447,57
282,58770,23
283,145923,19
284,74379,30
285,77275,18
286,42073,56
287,136316,29
288,127678,24
289,113552,32
290,146988,29
291,141845,47
292,74019,28
293,107857,39
294,62621,54
295,140698,33
296,83710,34
297,133237,20
298,110075,23
299,54792,39
300,117445,33
301,43554,40
302,101773,32
303,52921,33
304,40017,56
305,143665,35
306,108337,47
307,121779,55
308,120037,28
309,82723,50
310,70619,60
311,108001,55
312,88432,34
313,49720,18
314,105742,57
315,87452,44
316,96250,40
317,53283,21
318,126655,39
319,57602,51
320,59983,18
321,137743,20
322,111510,21
323,125466,52
324,111664,53
325,142981,52
326,99020,29
327,81373,48
328,79044,36
329,72858,49
330,89930,57
331,134259,45
332,111886,46
333,133980,21
334,123131,23
335,68424,31
336,71400,56
337,145255,42
338,84973,40
339,88362,28
340,78292,53
341,128539,57
342,103623,45
343,116629,55
344,146614,26
345,130602,29
346,98142,57
347,132241,37
348,49541,45
349,128414,23
350,144264,36
351,41535,59
352,74115,22
353,49145,33
354,124985,43
355,134355,29
356,52328,58
357,99615,59
358,69617,25
359,45208,45
360,115446,41
361,91190,19
362,72894,28
363,62917,19
364,135313,44
365,91642,45
366,58448,57
367,136577,57
368,143598,46
369,61459,34
370,77033,60
371,117493,39
372,103560,41
